Time,Port,Metric,Value
2026-05-13 05:45:33.000,0,ierrors,0
2026-05-13 05:45:33.000,0,ibytes,810
2026-05-13 05:45:33.000,0,ipackets,3
2026-05-13 05:45:33.000,0,obytes,0
2026-05-13 05:45:33.000,0,opackets,0
2026-05-13 05:45:33.000,0,rx_nombuf,0
2026-05-13 05:45:33.000,0,oerrors,0
2026-05-13 05:45:33.000,n,Value,1
2026-05-13 05:45:34.000,0,imissed,0
2026-05-13 05:45:34.000,0,ierrors,0
2026-05-13 05:45:34.000,0,ibytes,810
2026-05-13 05:45:34.000,0,ipackets,3
2026-05-13 05:45:34.000,0,obytes,0
2026-05-13 05:45:34.000,0,opackets,0
2026-05-13 05:45:34.000,0,rx_nombuf,0
2026-05-13 05:45:34.000,0,oerrors,0
2026-05-13 05:45:34.000,n,Value,1
2026-05-13 05:45:35.000,0,imissed,0
2026-05-13 05:45:35.000,0,ierrors,0
2026-05-13 05:45:35.000,0,ibytes,810
2026-05-13 05:45:35.000,0,ipackets,3
2026-05-13 05:45:35.000,0,obytes,0
2026-05-13 05:45:35.000,0,opackets,0
2026-05-13 05:45:35.000,0,rx_nombuf,0
2026-05-13 05:45:35.000,0,oerrors,0
2026-05-13 05:45:35.000,n,Value,1
2026-05-13 05:45:36.000,0,imissed,0
2026-05-13 05:45:36.000,0,ierrors,0
2026-05-13 05:45:36.000,0,ibytes,810
2026-05-13 05:45:36.000,0,ipackets,3
2026-05-13 05:45:36.000,0,obytes,0
2026-05-13 05:45:36.000,0,opackets,0
2026-05-13 05:45:36.000,0,rx_nombuf,0
2026-05-13 05:45:36.000,0,oerrors,0
2026-05-13 05:45:36.000,n,Value,1
2026-05-13 05:45:37.000,0,imissed,0
2026-05-13 05:45:37.000,0,ierrors,0
2026-05-13 05:45:37.000,0,ibytes,810
2026-05-13 05:45:37.000,0,ipackets,3
2026-05-13 05:45:37.000,0,obytes,0
2026-05-13 05:45:37.000,0,opackets,0
2026-05-13 05:45:37.000,0,rx_nombuf,0
2026-05-13 05:45:37.000,0,oerrors,0
2026-05-13 05:45:37.000,n,Value,1
2026-05-13 05:45:38.000,0,imissed,0
2026-05-13 05:45:38.000,0,ierrors,0
2026-05-13 05:45:38.000,0,ibytes,810
2026-05-13 05:45:38.000,0,ipackets,3
2026-05-13 05:45:38.000,0,obytes,0
2026-05-13 05:45:38.000,0,opackets,0
2026-05-13 05:45:38.000,0,rx_nombuf,0
2026-05-13 05:45:38.000,0,oerrors,0
2026-05-13 05:45:38.000,n,Value,1
2026-05-13 05:45:39.000,0,imissed,0
2026-05-13 05:45:39.000,0,ierrors,0
2026-05-13 05:45:39.000,0,ibytes,810
2026-05-13 05:45:39.000,0,ipackets,3
2026-05-13 05:45:39.000,0,obytes,0
2026-05-13 05:45:39.000,0,opackets,0
2026-05-13 05:45:39.000,0,rx_nombuf,0
2026-05-13 05:45:39.000,0,oerrors,0
2026-05-13 05:45:39.000,n,Value,1
2026-05-13 05:45:40.000,0,imissed,0
2026-05-13 05:45:40.000,0,ierrors,0
2026-05-13 05:45:40.000,0,ibytes,810
2026-05-13 05:45:40.000,0,ipackets,3
2026-05-13 05:45:40.000,0,obytes,0
2026-05-13 05:45:40.000,0,opackets,0
2026-05-13 05:45:40.000,0,rx_nombuf,0
2026-05-13 05:45:40.000,0,oerrors,0
2026-05-13 05:45:40.000,n,Value,1
